"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14"
"1" 0.135758891559607 0.104567498806411 0.0387034293689382 0.0636995503585593 0.0464542863327686 0.0306246719082798 0.0834682064718498 0.107518937566824 0.102684489628599 0.100228148028245 0.0124049794901336 0.0899273245954907 0.0839595858842942 0.08562025067862
"2" 0.0043485630908398 0.0358705798754859 0.0687113729559596 0.00683839617587288 0.0305673398758946 0.016140103563933 0.128814378315072 0.144528840700273 0.0363822243433796 0.169166008953205 0.092979518891671 0.200383405880386 0.0652692673780285 0.0519226212002442
"3" 0.00231429738994031 0.0982609090245656 0.0588226752485058 0.0844061244400079 0.121529006095984 0.061448205006394 0.0909921107510957 0.0717289726755197 0.110064269897471 0.110611663735394 0.110994275985507 0.0410588450755955 0.0377686446740184 0.118568461285829
"4" 0.112878985262155 0.102732894281519 0.0498045996537629 0.0633371015643025 0.0467963936799622 0.0717398695352677 0.0878310621534155 0.0298186437164866 0.134071408384719 0.0928751661337002 0.133639431852146 0.0296510464219986 0.0448233973605647 0.0783743098711461
"5" 0.0250309132561838 0.0378114423857396 0.0939399146529323 0.0400622933124308 0.100577252362981 0.146443368367983 0.035883954206283 0.00732817013244193 0.142115344207658 0.118099489466826 0.0543153635224535 0.129899581437948 0.0684929126881392 0.0800204695967072
"6" 0.0948700948725903 0.13980847728241 0.050573727828631 0.0242344138278416 0.100677804659651 0.0490150313799503 0.0521536785216901 0.131360820918862 0.109191328724639 0.0654260983818913 0.048241392044756 0.0588809045351354 0.0755662270219522 0.0902753967027294
"7" 0.0232700189103837 0.0839215935391921 0.0952228459533317 0.127570551026518 0.0646600187819509 0.0834744269619006 0.0545108212221533 0.132153997734357 0.0847484058345714 0.0117104094339655 0.0169922131072697 0.0928040508527484 0.128960646641657 0.107153341178069
"8" 0.0359567012826285 0.0451253280248688 0.0680074603460664 0.0997978150977181 0.11209583125274 0.11002337361343 0.0887290198791274 0.0495814164926099 0.0166676126324026 0.0669803995822955 0.106292633787993 0.0945433859679359 0.106199022040185 0.103179157076709
"9" 0.132245823352908 0.0744315959570892 0.0461126062703721 0.0461119657910616 0.0465485052871135 0.0503314114425618 0.128454606284548 0.0914111379322269 0.127846678678763 0.105413725901182 0.112488671341292 0.00759455882418806 0.0310087129366934 0.0784770630449524
"10" 0.0672872586300358 0.0831881984296501 0.0292900443699776 0.0853076227022126 0.0799909488051324 0.117923090032227 0.0807104149550656 0.0554644211635286 0.0722698563171007 0.100866824330001 0.0585025954271086 0.122123182275265 0.0470755425626946 0.0814996485575125
"11" 0.105629363040597 0.132147297894347 0.116940349375775 0.0689173696197668 0.0155408800184039 0.0741273650942485 0.105335601810663 0.0972939549626663 0.094049828658423 0.106714270405067 0.0203721297874346 0.0451559409597444 0.0177756483728629 0.0705433551545224
"12" 0.14391603426394 0.0237890940476597 0.0517926093031389 0.0909438899145502 0.0636762182581451 0.1588623043158 0.049847295780854 0.138170702202662 0.0806165886690361 0.0797510549034464 0.017115056222473 0.0444589227241859 0.0570602293941084 0.080314056912715
